,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
".Siskiyou County, California","44,938","44,615","44,079","43,532","43,338","43,254","43,376","43,622","43,550","43,539","43,995","44,139","43,786","42,905","44,218","43,908","43,965","44,287","44,394","44,641","44,487","44,465","44,780","44,788"
".Solano County, California","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643","452,723","450,653","448,885","449,218","396,974","404,209","408,226","408,409","409,301","408,181","408,402","408,243","408,972","410,290"
".Sonoma County, California","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336","488,282","484,519","482,669","481,812","460,421","465,293","465,298","466,489","466,809","465,938","465,188","467,356","473,091","479,479"
".Stanislaus County, California","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660","553,257","552,723","551,226","551,430","449,471","463,761","477,469","487,357","492,613","500,020","504,651","507,834","509,032","511,536"
".Sutter County, California","94,751","94,482","94,189","94,507","94,778","95,282","95,742","96,204","96,348","96,971","99,479","99,152","98,569","97,948","79,192","80,138","82,162","84,671","86,484","88,764","91,112","92,959","93,855","94,366"
".Tehama County, California","63,559","63,331","63,212","62,875","62,801","63,158","63,453","63,847","64,018","65,084","65,687","65,446","65,299","64,896","56,170","56,685","57,380","58,528","59,571","60,602","61,587","62,147","62,648","62,891"
".Trinity County, California","13,755","13,685","13,489","13,427","13,128","13,094","12,828","12,726","12,567","12,285","16,091","16,082","15,778","15,670","12,980","12,859","13,064","13,210","13,159","13,440","13,634","13,648","13,656","13,762"
".Tulare County, California","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195","473,914","477,176","477,884","479,468","368,627","373,171","379,568","388,743","398,226","407,970","414,921","422,140","429,283","436,987"
".Tuolumne County, California","55,190","54,830","54,221","53,997","53,851","53,615","53,770","53,976","54,387","54,478","55,379","55,131","54,587","54,204","54,658","55,253","55,850","56,513","56,602","56,788","56,680","56,339","56,320","55,845"
".Ventura County, California","825,097","830,099","833,516","838,136","842,297","845,802","847,323","849,044","848,142","846,006","843,371","839,471","832,871","829,590","756,506","766,689","779,489","788,070","793,994","794,197","798,183","800,027","806,353","815,130"
".Yolo County, California","201,073","201,954","204,576","206,292","208,398","212,037","215,627","218,477","220,118","220,500","216,291","213,141","222,018","220,544","169,835","175,337","180,327","182,954","185,237","186,269","189,615","194,339","197,154","199,791"
".Yuba County, California","72,348","72,489","72,774","73,090","73,533","74,045","74,952","76,578","77,557","78,668","81,958","83,227","84,353","85,722","60,372","61,249","62,100","62,733","63,742","66,285","69,272","70,761","71,773","71,607"
